ID,TANK,SPECIES,TREATMENT,AGE,STATUS,TILE,ST,,,,,,,,,,,,,,
4EN1-11_3,E,PSTR,NATURAL,14,0,4EN1-11,PSTRNATURAL,,,,,,,,,,,,,,
4EN1-11_4,E,PSTR,NATURAL,14,0,4EN1-11,PSTRNATURAL,,,,,,,,,,,,,,
4EN1-6_1,E,PSTR,NATURAL,14,0,4EN1-6,PSTRNATURAL,,,,,,,,,,,,,,
4EN1-6_2,E,PSTR,NATURAL,14,0,4EN1-6,PSTRNATURAL,,,,,,,,,,,,,,
4EN1-6_3,E,PSTR,NATURAL,14,0,4EN1-6,PSTRNATURAL,,,,,,,,,,,,,,
4EN1-6_4,E,PSTR,NATURAL,14,0,4EN1-6,PSTRNATURAL,,,,,,,,,,,,,,
4ES1-4_1,E,PSTR,SUNLIGHT,14,0,4ES1-4,PSTRSUNLIGHT,,,,,,,,,,,,,,
4ES1-4_2,E,PSTR,SUNLIGHT,14,0,4ES1-4,PSTRSUNLIGHT,,,,,,,,,,,,,,
4ES1-4_3,E,PSTR,SUNLIGHT,14,0,4ES1-4,PSTRSUNLIGHT,,,,,,,,,,,,,,
4ES1-4_4,E,PSTR,SUNLIGHT,14,0,4ES1-4,PSTRSUNLIGHT,,,,,,,,,,,,,,
4ES1-7_1,E,PSTR,SUNLIGHT,14,0,4ES1-7,PSTRSUNLIGHT,,,,,,,,,,,,,,
4ES1-7_2,E,PSTR,SUNLIGHT,14,0,4ES1-7,PSTRSUNLIGHT,,,,,,,,,,,,,,
4ES1-7_3,E,PSTR,SUNLIGHT,14,0,4ES1-7,PSTRSUNLIGHT,,,,,,,,,,,,,,
4ES1-7_4,E,PSTR,SUNLIGHT,14,0,4ES1-7,PSTRSUNLIGHT,,,,,,,,,,,,,,
5EB1-6_2,E,PSTR,BLUE,14,0,5EB1-6,PSTRBLUE,,,,,,,,,,,,,,
5EB1-6_4,E,PSTR,BLUE,14,0,5EB1-6,PSTRBLUE,,,,,,,,,,,,,,
5EB1-6_5,E,PSTR,BLUE,14,0,5EB1-6,PSTRBLUE,,,,,,,,,,,,,,
5EN1-5_1,E,PSTR,NATURAL,14,0,5EN1-5,PSTRNATURAL,,,,,,,,,,,,,,
5EN1-5_2,E,PSTR,NATURAL,14,0,5EN1-5,PSTRNATURAL,,,,,,,,,,,,,,
5EN1-5_3,E,PSTR,NATURAL,14,0,5EN1-5,PSTRNATURAL,,,,,,,,,,,,,,
5EN1-5_4,E,PSTR,NATURAL,14,0,5EN1-5,PSTRNATURAL,,,,,,,,,,,,,,
5EN1-5_5,E,PSTR,NATURAL,14,0,5EN1-5,PSTRNATURAL,,,,,,,,,,,,,,
5ES1-1_1,E,PSTR,SUNLIGHT,14,0,5ES1-1,PSTRSUNLIGHT,,,,,,,,,,,,,,
5ES1-1_2,E,PSTR,SUNLIGHT,14,0,5ES1-1,PSTRSUNLIGHT,,,,,,,,,,,,,,
